id_transfermarkt,nombre_transfermarkt,posicion_transfermarkt,id_fbref,mejor_nombre_fbref,mejor_score
566043,nigel lonwijk,Defensa,0a3065c8,mitchell dijks,52
707364,stijn hogervorst,Defensa,8d82551b,ivo pinto,40
655894,yigit emre celtik,Medio,81e4f7ff,milan robberechts,35
247380,arianit ferati,Medio,19b28f22,loreintz rosier,48
196860,jordan botaka,Delantero,ebb157c8,makan aiko,43
594240,tunahan tascı,Delantero,ebb157c8,makan aiko,43
514290,toshio lake,Delantero,a6b9bd00,alen halilovic,48
511454,samy baghdadi,Delantero,ec30b9c8,samuel bastien,52
261546,joost van aken,Defensa,16ca1157,sam kersten,48
464599,nicolas madsen,Medio,1ea0b955,danilo al saed,43
590775,djenahro nunumete,Medio,e3f206be,che nunnely,43
627750,filip stevanovic,Delantero,66b52562,ilias sebaoui,62
703820,trustin van 't loo,Delantero,c4ec710e,levi smans,37
748382,amin sarr,Delantero,1ea0b955,danilo al saed,43
460845,siemen voet,Defensa,69bff230,olivier aertssen,44
81778,maikel van der werff,Defensa,fb0346ad,damian van der haar,62
593834,jesse vermaning,Defensa,69bff230,olivier aertssen,52
539151,elikia mbinga,Medio,18d5f9e8,dylan mbayo,50
240752,gervane kastaneer,Delantero,e9a97974,braydon manu,41
793702,tristan van gilst,Delantero,7254ebfb,filip krastev,47
239044,ulrik yttergard jenssen,Defensa,952d12cf,erik schouten,39
432116,noah lewis,Defensa,5cf3719b,jens mathijsen,42
596182,sam tel,Defensa,d81c072d,boris lambert,40
223225,dan crowley,Medio,2f33776f,cisse sandra,43
367981,max svensson,Delantero,f95cbfbc,kyan vaesen,52
369103,argyris kampetsis,Delantero,f95cbfbc,kyan vaesen,36
680768,jelte pal,Delantero,0086c968,patrick joosten,50
289640,jens teunckens,Portero,d9da5101,joey kesting,46
241389,indy groothuizen,Portero,5f6196ca,maik ten brinke,39
452619,kyan van dorp,Portero,0898debb,jan hoekstra,48
618087,max wolfs,Portero,5cbbc934,robin jalving,27
645966,wouter sibon,Portero,5f6196ca,maik ten brinke,37
113872,mitch apau,Defensa,35ad6b14,faris hammouti,33
566930,julius dirksen,Defensa,4f0f270a,dennis vos,42
593804,lars dijk,Defensa,4f0f270a,dennis vos,42
395509,arnaud luzayadio,Defensa,a19903fd,pascal mulder,34
790469,willem hoffrogge,Medio,cb50e375,fridolin wagner,39
460630,azzeddine toufiqui,Medio,a7e3e2c7,torben rhein,40
419828,jasin assehnoun,Delantero,8b1960f4,agon sadiku,46
211331,mart lieder,Delantero,768a35ac,julius kade,36
251975,brian koglin,Defensa,a7cc9be4,gabin blancquart,50
515388,sem dirks,Defensa,58427244,darrel lemmert,43
675981,stan henderikx,Defensa,7ea6e6da,jens jenniskens,41
541020,yannick leliendal,Defensa,aa90a746,rick ketting,48
554423,ian hussein ngobi,Defensa,437f1089,simon janssen,47
995022,jens jacobs,Defensa,7ea6e6da,jens jenniskens,54
645962,joep munsters,Medio,cee66fd1,elias sierra,40
618343,joep kluskens,Medio,29811b9b,mohammed odriss,36
596378,jonas theuerzeit,Medio,e851067d,lasse wehmeyer,47
411536,rayan el azrak,Medio,d43d6d94,emmanuel gyamfi,41
918365,levi smans,Medio,cee66fd1,elias sierra,45
667272,niek munsters,Medio,043987ae,naim matoug,42
342490,carl johansson,Delantero,eec5568b,arwin javad,40
159375,joeri schroijen,Delantero,458ef349,thijme verheijen,52
975777,levi titulaer,Delantero,e851067d,lasse wehmeyer,37
322690,erik sorga,Delantero,eec5568b,arwin javad,38
356005,ertan hajdaraj,Delantero,adb499a9,martijn berden,50
811805,tyrese asante,Defensa,155a5669,matteo waem,42
705015,emre ates,Defensa,155a5669,matteo waem,60
705016,finn van breemen,Defensa,881b07f0,steven van der sloot,44
675621,nigel owusu,Defensa,09f961b5,diogo tomas,45
689632,guillem rodriguez,Defensa,96a2f173,illaijh de ruijter,40
677362,aiman achemlal,Defensa,23323e53,milan hokke,48
197078,david puclin,Medio,89ac64fd,kursad surmeli,46
848483,finn dicke,Medio,16a2b69f,finn de bruin,61
518304,dhoraso klas,Medio,a109e165,dano lourens,50
133372,gregor breinburg,Medio,16a2b69f,finn de bruin,41
686095,sacha komljenovic,Medio,fad85dd5,alex schalk,50
454569,benjamin reemst,Medio,a109e165,dano lourens,44
594869,nick broekhuizen,Medio,16a2b69f,finn de bruin,48
730821,julian markvoort,Delantero,d268532f,maikey houwaart,39
807788,marius van mil,Delantero,b92e54dc,daryl van mieghem,58
790419,fabian shahaj,Delantero,fad85dd5,alex schalk,42
497245,thomas rier,Defensa,000f6644,thomas poll,71
587333,sekou sylla,Defensa,6a036a64,sturla ottesen,48
548847,roy van mameren,Medio,7477e56f,iwan henstra,44
451282,tamas kiss,Delantero,09922e6b,wiebe kooistra,42
342152,roberts uldrikis,Delantero,99eb34c6,benjamin pauwels,38
43113,danny vukovic,Portero,97d958b5,rijk janse,35
491292,ilias bronkhorst,Defensa,7f63620c,leftheris lyratzis,41
489929,magnus mattsson,Medio,70bad10b,sontje hansen,50
694039,nils rossen,Medio,77b49e13,dirk proper,45
320265,mikkel duelund,Medio,0914806a,mees hoedemakers,33
575693,ibrahim cissoko,Delantero,d9b54c17,sami ouaissa,44
555719,ali akman,Delantero,db790fd3,basar onal,53
523998,pedro ruiz,Delantero,6bc2fef7,kento shiogai,35
153751,nick hengelman,Portero,aa2d6b1d,nando verdoni,44
690625,lars groenendijk,Portero,aa2d6b1d,nando verdoni,34
436063,turan tuzlacik,Defensa,6802abb5,julius dirksen,43
451673,aventis aventisyan,Defensa,6f095aa4,enric llansana,56
525131,yacine bourhane,Medio,1cdb21b9,jakob breum,38
340791,philippe rommens,Medio,3476496c,søren tengstedt,33
448257,ogechika heil,Medio,a61ff812,milan smit,35
808420,semir lbenay,Delantero,a61ff812,milan smit,55
322073,isac lidberg,Delantero,c63d7d38,oliver antman,48
612814,olaf kok,Delantero,c63d7d38,oliver antman,29
702845,jay koorndijk,Defensa,c8ecc3d9,yannick leliendal,33
1008564,billy van duijl,Defensa,c8ecc3d9,yannick leliendal,44
469851,john hilton,Defensa,1118e3e3,deron payne,36
293283,oskar buur,Defensa,bbca2b70,daniel beukers,42
597104,walid ould-chikh,Medio,a7dd36cf,bilal ould-chikh,81
866328,younes taha,Medio,4a59ed63,anass bouziane,56
516761,achraf douiri,Delantero,6e62698b,caner demircioglu,47
