club_code,club_name,season,division,league_position,puntos,partidos_jugados,goles_favor,goles_contra,valor_plantel,mean_plantel,nationality
19101,AD Nueve de Octubre,2022,Primera categoría,16.0,9.0,15.0,15.0,26.0,11800000.0,268000.0,Ecuador
19304,Delfín SC,2020,,,,,,,16649999.999999998,490000.0,Ecuador
19304,Delfín SC,2021,Primera categoría,10.0,18.0,15.0,19.0,25.0,12050000.0,365000.0,Ecuador
19304,Delfín SC,2022,Primera categoría,7.0,22.0,15.0,16.0,18.0,9350000.0,246000.0,Ecuador
19304,Delfín SC,2023,Primera categoría,7.0,24.0,15.0,18.0,23.0,6450000.0,195000.0,Ecuador
19309,Independiente del Valle,2020,,,,,,,12230000.0,291000.0,Ecuador
19309,Independiente del Valle,2022,,,,,,,13750000.0,327000.0,Ecuador
3523,Barcelona SC Guayaquil,2020,,,,,,,17680000.0,478000.0,Ecuador
3523,Barcelona SC Guayaquil,2023,,,,,,,17640000.0,464000.0,Ecuador
36020,Orense SC,2020,Primera categoría,15.0,10.0,15.0,15.0,27.0,9400000.0,269000.0,Ecuador
4561,CS Emelec,2020,Primera categoría,12.0,16.0,15.0,20.0,22.0,16150000.0,538000.0,Ecuador
4561,CS Emelec,2021,Primera categoría,1.0,34.0,15.0,29.0,14.0,16450000.0,531000.0,Ecuador
4561,CS Emelec,2022,,,,,,,18500000.0,561000.0,Ecuador
4561,CS Emelec,2023,Primera categoría,13.0,14.0,15.0,18.0,20.0,21280000.0,575000.0,Ecuador
6362,SD Aucas,2020,Primera categoría,6.0,23.0,15.0,26.0,23.0,13000000.0,351000.0,Ecuador
6362,SD Aucas,2022,Primera categoría,5.0,26.0,15.0,23.0,17.0,11380000.0,299000.0,Ecuador
8781,Deportivo Cuenca,2020,Primera categoría,16.0,8.0,15.0,16.0,30.0,7430000.0,173000.0,Ecuador
8781,Deportivo Cuenca,2021,Primera categoría,11.0,16.0,15.0,14.0,18.0,10200000.0,309000.0,Ecuador
8781,Deportivo Cuenca,2022,Primera categoría,8.0,21.0,15.0,12.0,14.0,4530000.0,168000.0,Ecuador
9855,LDU Quito,2020,,,,,,,24480000.0,699000.0,Ecuador
9855,LDU Quito,2021,,,,,,,17230000.0,410000.0,Ecuador
9855,LDU Quito,2022,Primera categoría,3.0,29.0,15.0,26.0,22.0,19500000.0,464000.0,Ecuador
9855,LDU Quito,2023,Primera categoría,3.0,26.0,15.0,29.0,17.0,21980000.0,628000.0,Ecuador
161,Al-Wahda FC,2021,Primera categoría,3.0,53.0,26.0,51.0,25.0,23410000.0,498000.0,Emiratos Árabes Unidos
2150,Al-Ain FC,2023,Primera categoría,3.0,45.0,26.0,54.0,37.0,53330000.0,988000.0,Emiratos Árabes Unidos
38040,Al-Ittihad Kalba SC,2020,Primera categoría,8.0,39.0,26.0,29.0,39.0,12330000.0,280000.0,Emiratos Árabes Unidos
38040,Kalba FC,2022,Primera categoría,8.0,33.0,26.0,32.0,41.0,18280000.0,425000.0,Emiratos Árabes Unidos
38040,Kalba FC,2023,Primera categoría,10.0,26.0,26.0,39.0,50.0,21580000.0,449000.0,Emiratos Árabes Unidos
4785,FC Baniyas,2020,Primera categoría,2.0,54.0,26.0,50.0,22.0,17130000.0,519000.0,Emiratos Árabes Unidos
371,Celtic FC,2021,Primera categoría,1.0,82.0,33.0,78.0,19.0,126680000.0,2530000.0,Escocia
433,FC Koper,2020,Primera categoría,9.0,42.0,36.0,41.0,56.0,3950000.0,123000.0,Eslovenia
1049,Valencia CF,2020,Primera categoría,13.0,43.0,38.0,50.0,53.0,278850000.0,7970000.0,España
1049,Valencia CF,2022,Primera categoría,14.0,42.0,38.0,42.0,45.0,249780000.0,6240000.0,España
1050,Villarreal CF,2020,Primera categoría,7.0,58.0,38.0,60.0,44.0,292600000.0,8130000.000000001,España
1084,Málaga CF,2020,Segunda categoría,12.0,53.0,42.0,37.0,47.0,20280000.0,422000.0,España
1084,Málaga CF,2022,Segunda categoría,20.0,44.0,42.0,37.0,44.0,19250000.0,458000.0,España
1108,Deportivo Alavés,2021,Primera categoría,20.0,31.0,38.0,31.0,65.0,65349999.99999999,1520000.0,España
1108,Deportivo Alavés,2022,Segunda categoría,4.0,71.0,42.0,47.0,33.0,36080000.0,1000000.0,España
1108,Deportivo Alavés,2023,Primera categoría,10.0,46.0,38.0,36.0,46.0,123700000.0,3020000.0,España
13241,UD Ibiza,2020,,,,,,,5100000.0,189000.0,España
13241,UD Ibiza,2022,Segunda categoría,21.0,34.0,42.0,33.0,66.0,16480000.0,422000.0,España
150,Real Betis Balompié,2023,Primera categoría,7.0,57.0,38.0,48.0,45.0,224880000.0,5350000.0,España
1531,Elche CF,2020,Primera categoría,17.0,36.0,38.0,34.0,55.0,45650000.0,1110000.0,España
1531,Elche CF,2021,Primera categoría,13.0,42.0,38.0,40.0,52.0,72980000.0,1970000.0,España
1531,Elche CF,2022,Primera categoría,20.0,25.0,38.0,30.0,67.0,67500000.0,1690000.0,España
16486,CF Fuenlabrada,2020,Segunda categoría,11.0,54.0,42.0,45.0,46.0,14800000.0,435000.0,España
16795,Granada CF,2020,Primera categoría,10.0,46.0,38.0,47.0,65.0,122650000.0,2790000.0,España
237,RCD Mallorca,2022,Primera categoría,9.0,50.0,38.0,37.0,43.0,107000000.0,2820000.0,España
2448,Real Sporting de Gijón,2021,Segunda categoría,17.0,46.0,42.0,43.0,48.0,30250000.0,720000.0,España
2448,Real Sporting de Gijón,2023,Segunda categoría,5.0,65.0,42.0,51.0,42.0,31500000.0,768000.0,España
2497,Real Oviedo,2021,Segunda categoría,7.0,68.0,42.0,57.0,41.0,22600000.0,665000.0,España
2687,Cádiz CF,2020,Primera categoría,12.0,44.0,38.0,36.0,58.0,47650000.0,1160000.0,España
2687,Cádiz CF,2023,Primera categoría,18.0,33.0,38.0,26.0,55.0,60700000.0,1380000.0,España
3368,Levante UD,2022,Segunda categoría,3.0,72.0,42.0,46.0,30.0,44780000.0,1280000.0,España
366,Real Valladolid CF,2020,Primera categoría,19.0,31.0,38.0,34.0,57.0,63350000.0,1550000.0,España
367,Rayo Vallecano,2020,Segunda categoría,6.0,67.0,42.0,52.0,40.0,29850000.0,829000.0,España
368,Sevilla FC,2020,Primera categoría,4.0,77.0,38.0,53.0,33.0,418250000.0,11010000.0,España
368,Sevilla FC,2023,Primera categoría,13.0,41.0,38.0,48.0,54.0,228750000.0,4670000.0,España
3709,Getafe CF,2021,Primera categoría,15.0,39.0,38.0,33.0,41.0,208680000.0,4850000.0,España
472,UD Las Palmas,2020,Segunda categoría,9.0,56.0,42.0,46.0,53.0,20350000.0,485000.0,España
5358,SD Huesca,2020,Primera categoría,18.0,34.0,38.0,34.0,53.0,64099999.99999999,1890000.0,España
5358,SD Huesca,2021,Segunda categoría,13.0,54.0,42.0,49.0,44.0,29900000.0,787000.0,España
621,Athletic Club,2023,Primera categoría,5.0,68.0,38.0,61.0,37.0,295650000.0,9540000.0,España
7077,FC Cartagena,2022,Segunda categoría,9.0,58.0,42.0,47.0,49.0,19250000.0,470000.0,España
940,RC Celta de Vigo,2022,Primera categoría,13.0,43.0,38.0,43.0,53.0,138800000.0,3860000.0,España
1061,Los Ángeles Galaxy,2020,,,,,,,51480000.0,1780000.0,Estados Unidos
1061,Los Ángeles Galaxy,2021,,,,,,,30330000.0,978000.0,Estados Unidos
1247,Colorado Rapids,2022,,,,,,,30630000.0,1020000.0,Estados Unidos
218,San José Earthquakes,2020,,,,,,,18050000.0,602000.0,Estados Unidos
218,San José Earthquakes,2021,,,,,,,19030000.0,705000.0,Estados Unidos
218,San José Earthquakes,2022,,,,,,,27780000.0,958000.0,Estados Unidos
40058,New York City FC,2021,,,,,,,31630000.0,1130000.0,Estados Unidos
40058,New York City FC,2022,,,,,,,43280000.0,1490000.0,Estados Unidos
4078,CF Montréal,2020,,,,,,,40330000.0,1060000.0,Estados Unidos
4078,CF Montréal,2022,,,,,,,26180000.0,935000.0,Estados Unidos
4284,Sporting Kansas City,2020,,,,,,,29650000.0,927000.0,Estados Unidos
4291,Portland Timbers,2020,,,,,,,31700000.0,1090000.0,Estados Unidos
4291,Portland Timbers,2021,,,,,,,28200000.0,972000.0,Estados Unidos
4291,Portland Timbers,2022,,,,,,,26680000.0,889000.0,Estados Unidos
432,Chicago Fire FC,2020,,,,,,,19750000.0,617000.0,Estados Unidos
45604,Orlando City SC,2020,,,,,,,24480000.0,816000.0,Estados Unidos
45604,Orlando City SC,2021,,,,,,,32800000.0,994000.0,Estados Unidos
51663,Atlanta United FC,2020,,,,,,,57350000.0,1510000.0,Estados Unidos
51663,Atlanta United FC,2022,,,,,,,71750000.0,2050000.0,Estados Unidos
52910,San Antonio FC,2021,Segunda categoría,3.0,52.0,32.0,50.0,38.0,6650000.0,215000.0,Estados Unidos
56089,Minnesota United FC,2020,,,,,,,23800000.0,721000.0,Estados Unidos
56089,Minnesota United FC,2023,Primera categoría,11.0,41.0,34.0,46.0,51.0,40930000.0,1170000.0,Estados Unidos
626,New England Revolution,2022,,,,,,,34080000.0,1000000.0,Estados Unidos
626,New England Revolution,2023,Primera categoría,5.0,55.0,34.0,58.0,46.0,50130000.0,1390000.0,Estados Unidos
6321,Vancouver Whitecaps FC,2021,,,,,,,19780000.0,618000.0,Estados Unidos
6321,Vancouver Whitecaps FC,2022,,,,,,,34180000.0,876000.0,Estados Unidos
69261,Inter Miami CF,2020,,,,,,,115250000.0,3290000.0,Estados Unidos
69261,Inter Miami CF,2021,,,,,,,94200000.0,3360000.0,Estados Unidos
69261,Inter Miami CF,2022,,,,,,,42750000.0,1260000.0,Estados Unidos
72309,Austin FC,2022,,,,,,,34900000.0,1290000.0,Estados Unidos
78435,Charlotte FC,2021,,,,,,,,,Estados Unidos
78435,Charlotte FC,2023,Primera categoría,9.0,43.0,34.0,45.0,52.0,38480000.0,1100000.0,Estados Unidos
8816,FC Dallas,2020,,,,,,,15980000.0,456000.0,Estados Unidos
8816,FC Dallas,2021,,,,,,,22680000.0,756000.0,Estados Unidos
8816,FC Dallas,2022,,,,,,,30000000.0,1030000.0,Estados Unidos
9168,Houston Dynamo,2020,,,,,,,20280000.0,634000.0,Estados Unidos
